,jgebbia,georgesoros,historydefined,neuralink,beeple,Grimezsz,thesheetztweetz,elonmusk
1241,"This place is home to the dreamers, the misfits, and the 'weird' kids. It's home to me. https://t.co/LEnLeHbg3m https://t.co/cJZCHO4QLf",,"Crystal spearhead found in a 5,000-year-old megalithic tomb in Spain. The tomb had the remains of 25 individuals, s… https://t.co/HgvtzA0yUS",,,@Jason U r so crazy on the internet,RT @astro_g_dogg: @joroulette @thesheetztweetz @Rogozin That’s likely the case. Baikonur is a very remote and isolated place with a high pe…,
1242,Back to the source of reframing the question in order to rethink the problem. #risd https://t.co/qbamRN2ciz https://t.co/1ZwkvE9rgQ,,"Headdress depicting dragon and phoenixes, with blue highlights filled by kingfisher feathers. China, Qing dynasty,… https://t.co/gD3HEpnXW6",,,@3eyes_takahashi Soooooi Siq! Sorry for late reply I got locked out of my twitter lmao,"RT @jeff_foust: JWST’s secondary mirror has extended into position and is being latched into place, according to NASA TV’s coverage of the…",
1243,"Canada's bold step: ""Manitoba announces funds for housing, resettlement services for asylum seekers"" https://t.co/xuoe6e113I #weaccept",,"The Fortress of Cardona - Catalonia - Constructed in 886 by Wilfred the Hairy, Count of Barcelona https://t.co/dahim28mCx",,,"@HANAtruly True that was a good invention, by me.","RT @joroulette: Spokesman for Roscosmos says Russia's key spaceport in Baikonur, Kazakhstan is safe amid upheaval in the country; ""all the…",
1244,Proud to support @thorn as Co-Founder @aplusk testifies in front of Senate Foreign Relations Committee this week: https://t.co/AGlEVfXrY5,,"John F. Kennedy and Jacqueline Bouvier, relaxing at the Kennedy family home in Hyannis Port in Cape Cod, Massachuse… https://t.co/7lqX1Xr1v4",,,@RandomHumor420 Whoa.... did u just change my mind?!,"RT @JasonRainbow: Starlink’s lead executive in India said he resigned Friday for personal reasons, a month after the country’s government o…",
1245,"""Creation"" https://t.co/6Qkc8NSX1Z https://t.co/C1mv9GRhtj",,"Intricate floor mosaic in the cathedral of Santa Maria del Fiore in Firenzi, Italy. https://t.co/WDHpacqVV8",,,@no2mars Dive into the sim.  Aesthetics only matter in the art zone.  Life is a distraction.,Happy New Year! Here's to 2022. https://t.co/qfP3WY77M8,
1246,Would we ever want anyone to say our response to the refugee crisis is anything less than remarkable?… https://t.co/b2OZtGF0jZ,,"17th century Swedish warship ""Vasa"", sank on her maiden voyage, recovered in 1961 nearly completely intact https://t.co/DXWgKCV7Bx",,,@AlgoKrypto Same,@lorengrush Back I go! https://t.co/IQPgtNf7uk,
1247,Anything can be learned. @McKnight_Mike_ via @SI_Longform #Longform https://t.co/VFH42JVpLa,,"An ivory netsuke of a sleeping cat, created by Kaigyokusai Masatsugu, 19th century https://t.co/nCxJmec5U5",,,@miragonz Wow u made my day,FAA update on the final environmental assessment of SpaceX’s Starship facility in Texas: Delaying to Feb 28 from De… https://t.co/mHKcIKk0cT,
1248,@SI_ChrisBallard @SI_Longform Well done. Easily one of my favorite reads in the new year.,,"Hand-carved stone weight, made of haematite carved in the shape of a grasshopper. Dates back 1800 - 1700 BCE in anc… https://t.co/0cB7neitss",,,@EBoufarit I need to integrate Taylor swift into my edgelord dj set,"RT @marinakoren: Good morning from Kourou again, where it’s nice and rainy. Today we’re spending time in the Guiana Space Center’s control…",
1249,Illuminating breakfast last week with United Nations president Peter Thomson &amp; other tech… https://t.co/ii6FTNQvJb,,Test your knowledge about WW2! https://t.co/UKR0QAtdE5,,,"I am in urgent need of dark/ industrial techno remixes of songs off Red by Taylor Swift , does this exist?","RT @marinakoren: Good morning from Kourou. This morning we’re watching JWST and its rocket roll out to the launchpad. On the way there now,…",
1250,@IMKristenBell @Airbnb thanks for the &lt;3,,"Ceramic pillow shaped like a tiger. China, 12th century CE https://t.co/4Lvuriqz3D",,,"@RealLindaPerry Happy bday, you are the original edge lord 🔪🔪🔪🔪",@TalkOTitusville @VoyagerSH @ClayMowry @arianecornell @SGAC @Space_Leaders I'm notoriously bad at taking time off.,
1251,"RT @Airbnb: ""If we all wrote down our own hopes and dreams, I think they'd be similar around the world. We're more the same than different.…",,The Michelin Men in the 1920s. https://t.co/XYncR7ypQY,,,RT @eunnieboo: pink in the night https://t.co/an1JfLevo4,@VoyagerSH @ClayMowry @arianecornell @SGAC @Space_Leaders Voyager press release announce Mowry's appointment: https://t.co/3igchJXsRN,
1252,@pieratt @bchesky one of our colleagues will be in touch,,"RT @historydefined: Amazing colors and symmetry of Sri Ranganathswamy Temple, India https://t.co/J0pgeqzcXh",,,@HANAtruly Lmaooooo,@VoyagerSH @ClayMowry @arianecornell I also asked how many young space professionals he thought he has mentored thr… https://t.co/XvmDcrW9dZ,
1253,https://t.co/hJ95yvYRIw #WeAccept #Airbnb https://t.co/MQff2LzYjR,,"Congolese 'Sword' of the Ngala people from the late 1800s, Africa. https://t.co/wV6ZiuiKuR",,,@paulomatangi @HANAtruly Ur kidding! Hana come on this is money,"@VoyagerSH @ClayMowry @arianecornell Mowry will be based in DC for Voyager, but said he also intends “to be out and… https://t.co/yfuL4TR55T",
1254,Embracing our diversity is the only way to realize our togetherness https://t.co/O7pIiI0AVq @SELFmagazine #WeAccept #Airbnb #SB51,,"Oskar Schindler mobbed by hundreds of holocaust survivors in Jerusalem, 1962. https://t.co/qzSZZEnW85",,,@HANAtruly Dislike,@VoyagerSH @ClayMowry Mowry also noted that @arianecornell has taken over his position at Blue Origin.,
1255,It’s possible that a child today will grow up in a different kind of world. Let’s all be a part of that change.… https://t.co/oD1cFwKkro,,A British veteran of the Peninsular War posing with his wife for a portrait photograph in the 1860s. https://t.co/DELOlzqScI,,,@HANAtruly Don’t do this,@VoyagerSH @ClayMowry Mowry’s goals at Blue Origin included getting the company “into the launch business – and tha… https://t.co/EE6Ltw8FJk,
1256,It’s never too late to take action. #WeAccept #Airbnb,,How well do you know US Presidential history? https://t.co/HE2pCMMPth,,,@HANAtruly FUCI YOU,"@VoyagerSH I spoke to @ClayMowry about joining Voyager: ""I see a tremendous amount of growth and opportunity in the… https://t.co/gw9rAqdxxf",
1257,Airbnb will contribute $4 million over the course of four years to @theIRC. Join us &amp; we'll match you: https://t.co/HzyaQik9J6 #WeAccept,,"A Chinese moon bed made of satinwood. About 1875, Sung Sing Kung Factory, China. https://t.co/afDQ6whc0F",,,@HANAtruly I’m so glad u r changing ur artist name to Xana,Blue Origin global sales VP Clay Mowry has left after more than 5 years and is joining Voyager Space as Chief Reven… https://t.co/AWIxepNTjm,
1258,@Airbnb will contribute $4 million over the course of four years to @theIRC. Join us &amp; we'll match you: https://t.co/HzyaQik9J6 #WeAccept,,"RT @historydefined: This 9000-year-old stone mask is the oldest mask in the world, and was found in the Judean Desert in Israel https://t.c…",,,"@HANAtruly 
No one: 
Hana: 💜🔮😈👾",RT @elonmusk: Starship Super Heavy engine steering test https://t.co/VG4RQAGuyk,
1259,It isn’t empty idealism to think that overcoming a huge obstacle can be simple. #WeAccept,,"RT @historydefined: This was the original ""distracted boyfriend meme"" but back then, it was the distracted girlfriend, 1950. https://t.co/X…",,,RT @CNET: Watch SpaceX's #FalconHeavy rocket lands its center core on a ship for the first time 🚀 https://t.co/VltoKVaAox,"RT @lorengrush: SpaceX's Crew-6 mission gets assigned two astronauts: Stephen Bowen and Woody Hoburg
https://t.co/73rrVy8Sww https://t.co/O…",
1260,@Hughcevans @Airbnb thanks! took massive amount of team work,,"RT @historydefined: Massive Roman aqueduct built in Segovia, Spain by emperor Trajan (r. 98-117 CE). https://t.co/zkMwShPFbU",,,@neil_corcoran Tru Neil,"Amazon released a video about its Project Kuper satellite internet, with interviews of key leaders and a look insid… https://t.co/8M4y6Gl91Q",
1261,"Excited to share Airbnb's commitment to provide 100,000 people in need with short-term housing over 5yrs: https://t.co/3GFxZCJTv6 #weaccept",,"The helmet of Sultan Mehmet Fatih, who conquered Constantinople at the age of 21, ending the Byzantine Empire. https://t.co/2wGf5TgePH",,,@rafzsz @rosaliavt The full album in its entirety,"RT @jeff_foust: Stoke Space announced a $65M Series A round today that will go towards development and testing of a reusable upper stage, t…",
1262,"RT @ycombinator: Welcome, ACLU https://t.co/7CwLAFNSz3",,"Last sword duel in history in France, 1967 between the Mayor of Marseille and the Socialist Party candidate for pre… https://t.co/m1sRHbVPPY",,,@paulomatangi @bolinxo then it’s a hit,@laurenthomas worse than having no internet,
1263,"RT @Airbnb: Thank you to our amazing Airbnb community for supporting those affected by the travel ban. 

https://t.co/6hZ2uAy7lo",,This 'colossus' sculpture was created by Italian sculptor Giambologna in the late 1500s as a symbol of Italy's Apen… https://t.co/fBJHlmuYDg,,,@bolinxo Hahaha is this real,Musk also said he thinks Bezos has “reasonably good engineering aptitude ... but he does not seem to be willing to… https://t.co/Vsl5pd9GE3,
1264,Belong anywhere. https://t.co/0Cw9RkcMAh,,"A young soldier of the Austro-Hungarian Army standing on the Bridge of Sighs, a bridge connecting tunnels inside th… https://t.co/4O5a1GYC4Z",,,@SeapunkVNR True,"Elon Musk, on Jeff Bezos: 

“In some ways, I’m trying to goad him into spending more time at Blue Origin so they ma… https://t.co/36rW188Ttg",
1265,Walked out of JFK into a scene https://t.co/BOVSVrSaXV,,"Two childhood friends meet during a protest. One is a factory worker, the other is a riot officer. https://t.co/wHCyy3Dbwh",,,"@artangeI @yungbabytate So I read, respect.  We shud ✏️ ✏️✏️✏️! 💕☣️💕","RT @cbs_spacenews: Ariane5/JWST: Launch of the James Webb Space Telescope atop an ESA Ariane 5 rocket from French Guiana is being delayed,…",
1266,5/5 Learn more about the issue &amp; contribute to UNHCR efforts here: https://t.co/fanb2EwhE9 #withrefugees,,"Discovering an approximately 3500-year-old burial mask from the tomb of Djehuty, Karnak, Egypt in 2004. https://t.co/GNMuUO4jov",,,@yungbabytate @artangeI Did u produce cozy girl? I luv this sexy psychedelic energy 🌸🧚🏻‍♀️🌸🧚🏻‍♀️,"RT @Pomerantz: Harassment in our industry exists, as no one person could deny. Any amount greater than 0 is unacceptable. Life, work, &amp; pro…",
1267,"4/5 Had dinner recently w/Afghan refugee family, father served as interpreter w/our troops. Broke bread together &amp; learned what we share.",,"Ring with an inscription to Hera. Greece, about 575 BCE https://t.co/h5IjpJEAUt",,,@artangeI @yungbabytate U alert me to all the good new music,"@ArtfulTakedown @planet4589 @Lori_Garver Thanks, Sid!",
1268,"3/5 It’s all the people out in the world, living in conditions far beyond anything we will ever experience…#withrefugees",,"The smoky ruins of San Francisco, still hot with smoldering rubble, following the devastating earthquake on the 18t… https://t.co/vTHbjgeqZC",,,@Viranda Nice,"@planet4589 @Lori_Garver Thank you for the support, Jonathan!",
1269,"2/5 It's not just the people sitting in an airport right now in some beige, featureless, backroom customs holding container…#withrefugees",,1931 Manhatten https://t.co/qdAbWKJEH7,,,@3eyes_takahashi Haha cool,"@Lori_Garver You're welcome, Lori! And thank you for the chance of a lifetime to work on this book. You're a founta… https://t.co/qDiudIh9M5",
1270,1/5 The only criteria can be “human” when the safety &amp; well being of suffering people is at stake. Nothing is more important #withrefugees,,"Christmas day in Vukovar, Croatian War, 1992 https://t.co/iNhC4hFuRj",,,@britmarling @NaomiAKlein The show is a masterpiece 💫,"RT @Lori_Garver: Thank you @thesheetztweetz for all you have done to help create Escaping Gravity. It has been a fun, wild ride &amp; it never…",
1271,"RT @bchesky: Open doors brings all of US together. Closing doors further divides US. Let's all find ways to connect people, not separate th…",,One of the oldest known depictions of an animal anywhere in the World is on the Indonesian island of Sulawesi. This… https://t.co/fo4q1E2TEr,,,@SeapunkVNR The filth reigns,"RT @tanyaofmars: Harassment in our field drives away talent. It makes the field as a whole *worse,* &amp; we should not stand for it.

I nearly…",
1272,RT @alexoid: We're looking for an amazing presentation designer to join Airbnb in SF -- DM me!,,A cup of tea and a bit of peace back in the 1800s. https://t.co/GHfS4xWgK6,,,@bjorksbaby Ahri cuz I suck at league and weirdly suck less w her I have ambitions for less mainstream character in future,"RT @JHUAPL: BREAKING: For the first time in history, a spacecraft has touched the Sun. 🛰☀️❗ 

@NASA’s #ParkerSolarProbe has now flown throu…",
1273,I think the power of good design is the feeling it gives to people in the space between you and the object:… https://t.co/slrtA1QvLA,,"Paper doll. Japan, Meiji period, 1897-98 https://t.co/uaQ9vkdP93",,,@SeapunkVNR Fake news!,"RT @haleykesparza: Last week I was honored with @NASA’s Silver Snoopy award, presented by @Astro_Jessica, recognizing achievements in human…",
1274,@spikebrehm what session,,"Solar System quilt by Ellen Harding Baker, begun in 1869 and completed in 1876 to teach women astronomy. https://t.co/QpDlWwAvKu",,,@Viranda 9 4 nazgul,"RT @lorengrush: Today, a former SpaceX employee Ashley Kosak published an essay detailing alleged sexual harassment she experienced while w…",
1275,"RT @POTUS: Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but…",,"Albert Einstein getting some sun in Palm Springs, 1932. https://t.co/KQGmiREC80",,,3 rings for the elven Kings ☣️🌸☣️ https://t.co/fmdlOEJwfn,@FPL_Advice2 Taking a shot with captaining TAA given how weak Newcastle are – fingers crossed all of my players sta… https://t.co/HRHgtlSDoP,
1276,Thanks everyone who traveled and hosted with our service for NYE! https://t.co/wtjHJvEhmC,,"This 9000-year-old stone mask is the oldest mask in the world, and was found in the Judean Desert in Israel https://t.co/31vDlqKsVF",,,RT @rennerei: Chun-Li turned 51 this year 🥰 https://t.co/MEHMTuFO0g,"Sierra Space hired Kursten O'Neill as vice president of its Dream Chaser Crew spaceplane program:

O'Neill had been… https://t.co/3HkHxMaOE1",
1277,@Apurv_Ed sure did 🖊,,Wilhelm Hippert showing off the high-altitude oxygen apparatus used by German pilots during World War I circa 1917. https://t.co/QlNiBleSty,,,@bitchimbichonna @stereogum Yeh it fucking is,"RT @jeff_foust: At #WSBW, Tim Ellis of Relativity says they are a “few months” from a first Terran 1 launch. Engine qualification going wel…",
1278,"RT @Airbnb: Add these trending destinations to the list for next year!

#AirbnbNYE https://t.co/DJWsCb0kXw",,"A photograph of the oldest house in Hamburg, Germany, 1898. Built in 1524, it was demolished on December 8th, 1910… https://t.co/nLwTG2Y9ad",,,@stereogum Fuck you,"@TKagee @ExploracionE @SirishaBandla 6'4""!",
1279,"If rules aren't serving a purpose, they should be ignored or changed. - Gen Stanley McChrystal",,The sad fates of Ivan the Terrible's many wives. https://t.co/1KO0nnLKBm,,,"@yanescudo @FKAtwigs I’m not Fka grimes, I’m not sure why this is their headline lol",@Lori_Garver I was honored to contribute to the development of Lori's book – while I initially joined the project a… https://t.co/hJ4RwaCiN2,
1280,"We ask our questions through art, and seek our solutions through design. https://t.co/jOyPaBRXHz",,"Amazing colors and symmetry of Sri Ranganathswamy Temple, India https://t.co/J0pgeqzcXh",,,SATAN IS REAL [by Chuck Grant 4 cultured mag] 🔪 https://t.co/koZ4uwCDEt,"The wait is over! I'm thrilled to say you can now pre-order @Lori_Garver's book, which comes out next year:… https://t.co/MLgqmiv7jW",
1281,RT @nathanblec: Analyst says home-sharing organization unfairly blamed for rental housing shortage https://t.co/3ZYCuzNQFS,,"Propaganda shot of Benito Mussolini standing atop a tractor during his “Battle for Grain” campaign, 1937 https://t.co/nM13PY8UVY",,,"RT @Eori_namo: The Legend of ""Zelda"" https://t.co/I4c08vdU7b","RT @Lori_Garver: The big reveal! Coming on June 7, 2022, my memoir about the quest to overcome the status quo to transition @NASA &amp; human s…",
1282,"""How to reinspire your brain"". Nice read: https://t.co/NCLcf7K0ph via @FastCompany",,"Trees that were cut down at the Alder Creek site by members of the Donner Party, c.1866. The height of the stumps c… https://t.co/GNWtXb0AvG",,,@mc2maven @ehrgeiz_ 💗,"Great to hang with a pair of Virgin Galactic astronauts in NYC, Sirisha and Colin! https://t.co/Q951tdZUY6",
1283,Excited to share that the Yoshino Cedar House is now installed on the riverfront &amp; bookable on Airbnb!… https://t.co/cJ5anj9S6b,,Why was the Oracle of Delphi so important? https://t.co/UtJdKzPT4R,,,"@JakeSymbol Can u explain how it promotes eco fascism?  Eco fascism is an environmental movement (I mean, a toxic o… https://t.co/NTjpJupUhy",RT @BoeingSpace: Our team has decided to replace the current #Starliner service module on the Orbital Flight Test-2 (OFT-2) vehicle with a…,
1284,"Talking Design, Productivity, And More With Alex Schleifer – VP Of Design, Airbnb https://t.co/0jAmmsLHdH @alexoid",,"A man takes a selfie using a stick of wood to activate the camera, 1957 https://t.co/Hdjfjs6JbP",,,"@JakeSymbol if people are upset in that regard, then it is progressing the dialogue about the true offenders by cau… https://t.co/lPnw3BRzaX",Rocket Lab $RKLB to acquire SolAero Holdings – a supplier of space solar power products and aerospace structures –… https://t.co/AUq67L2poh,
1285,My op ed for the Miami Herald: Airbnb lets visitors live like locals https://t.co/XaMxrwIFIi,,"US Vice-President Richard Nixon (left) reviews honor guard in Kabul, Afghanistan, 1950s https://t.co/YXHppQI2mf",,,@ScarletAdorned Don’t turn my words on me!  #ableton 4 ever,"RT @jeff_foust: SpaceX’s Tom Ochinero: planning at least three human spaceflight missions next year, maybe more. First  Starship orbital fl…",
1286,Delighted to feature these talented designers at #DesignMiami https://t.co/yd52EdS5Mt,,Mobsters hide their faces at Al Capone's trial in 1931. https://t.co/54o1NSnJl9,,,@JakeSymbol If they are upset abt climate crisis then my plan is working,"Goldman Sachs names Maxar $MAXR stock a top pick for 2022:
https://t.co/fHM4FMCRDT",
1287,Donate to organizations supporting refugees around the world or in your local community #GivingTuesday #WithRefugees,,Eiffel Tower during construction. 1887-1889. https://t.co/JMfkzHHQaa,,,@ehrgeiz_ It’s pinned to my profile,"United Launch Alliance is not expected to receive two flight ready BE-4 engines before Q2 2022, reports… https://t.co/Q1F4bdCNOb",
1288,@LPiddock @AirbnbCitizen There are many ways to lend support and give back - here's a link to donate directly https://t.co/xfY4Zn65Ir,,A 17th-century ottoman three-mast tent made of silk and gilded leather. Now on display at the Turkish Chamber in th… https://t.co/88S71GhgUZ,,,@ehrgeiz_ I would like to make climate change easier to discuss.  Think abt how much more people engage w Voldemort… https://t.co/iy7cbkvRQ4,"RT @SciGuySpace: ULA is unlikely to receive its Vulcan rocket engines be-4 spring of next year, at the earliest.

https://t.co/SvUM53QqvE",
1289,Tech can help by galvanizing our assets &amp; networks for good to support refugees through orgs like @UNRefugeeAgency #WithRefugees,,"This 13,000-year-old swimming reindeer sculpture was carved from a mammoth tusk https://t.co/OZ172hWc64",,,@ehrgeiz_ Read my full statement or unfollow ❤️,"@ChrisSembroski @TIME @johnkrausphotos @inspiration4x Come to think of it, has anyone actually ever seen Hanks and Snap in the same room? 🤔",
1290,@AirbnbCitizen #GivingTuesday is an easy way to begin supporting and learning about this important cause #WithRefugees,,RT @historydefined: Albert Einstein and Marie Skłodowska Curie reminiscing by a lake in 1929. https://t.co/cPu2nBeA3s,,,@luanxx Haha the shower meme is funny,"RT @yousuckMZ: Took a time lapse of Earth from the ISS window.
This is exactly an entire orbit around Earth. Breathtaking. https://t.co/54L…",
1291,It is encouraging all of us to move beyond our comfort zone and help bridge the divides that exist between cultures. #WithRefugees,,"Massive Roman aqueduct built in Segovia, Spain by emperor Trajan (r. 98-117 CE). https://t.co/zkMwShPFbU",,,RT @RespectfulMemes: https://t.co/FNgPl1hI7L,"Maxar satellite imagery captured today of tornado damage to the Amazon warehouse in Edwardsville, Illinois: https://t.co/He6cxfARuR",
1292,@AirbnbCitizen @Airbnb we believe in using all our assets for good. With UNHCR we're activating our community #GivingTuesday #WithRefugees,,"RT @historydefined: A young boy playing the banjo with his dog, 1920. https://t.co/QOE8rsNQfK",,,@Jason I mean fuck the boxes but the actual sky city with drones is quite lovely,@NYCFC @SeanJohnGK &amp; @MaximeChanot take a bow,
1293,Thrilled to be participating today! https://t.co/MyIQ96pxUJ,,"Canaanite Gold pendant, Palestine, 1550-1425 BC. From The Louvre, Paris. https://t.co/lRuj0AJMuO",,,@Jason This is sick,RT @NYCFC: 𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗦 🏆 https://t.co/5x4Yfxu2yn,
1294,"RT @Airbnbdesign: Our Samara team sharing how we can support fading communities and help build cities in a sustainable, human way. https://…",,"This was the original ""distracted boyfriend meme"" but back then, it was the distracted girlfriend, 1950. https://t.co/XxwG9Aopcj",,,@edmund_ay George Martin rules he’s the original.,"RT @johnkrausphotos: The International Space Station, currently home to a crew of 10(!), soars by the 59% waxing gibbous moon this evening.…",
1295,"@NellyBenHayoun @Airbnb I hear ya. There's more women on the team, working on other initiatives than these",,"The Pyramid of Cestius is a Roman Era pyramid in Rome, Italy, built as a tomb between 18-12 BCE for Gaius Cestius,… https://t.co/tVC4Z2VMLg",,,@rawwwnee Rly respect Sophie in particular as I’ve attempted to learn the mono machine and it’s very difficult to m… https://t.co/xhRzD9vumP,@NYCFC A lion @MaximeChanot 💙,
1296,Surfs up. #airbnb https://t.co/IeNDF4nUoj,,"A photo of Freddie Mercury, 1958. https://t.co/VvA3FgN0Di",,,"@mundanemun Just synths and things haha, it’s sort of like an orchestra in the sense ur directing every sound. but… https://t.co/xUDLk2HCkK",The Mayfield Consumer Products candle factory: https://t.co/vFV3rM6epO,
1297,"When you spend years working on something, and your team exceeds your wildest expectations. And then some.… https://t.co/s9hfjcqb6n",,"Grid Excavation at Maiden Castle (UK) by Sir Mortimer Wheeler, 1937 https://t.co/iis10cTshB",,,@Starvation4Peac Love and sex are the core of our species.  If we cannot adequately quantify and communicate these… https://t.co/E24NMu2HSo,"Kentucky declared a state of emergency, with at least 30 tornadoes reported: https://t.co/lW8ka5ouh1",
1298,"RT @ChipConley: Wow, I love the passionate pilgrims who've come to #AirbnbOpen! Hosts &amp; guests who've even shaved their heads in the shape…",,Albert's Pyramid: Queen Victoria had a 35' (10.6m) pyramidal memorial cairn to her beloved Albert built after his d… https://t.co/Hxkqzu8B1Z,,,@maucastillo00 I haven’t listened to the record yet but her star quality is profound.  I was too focussed on video… https://t.co/3xrS0SUEm8,"Maxar satellite imagery shows the before-and-after in Mayfield, Kentucky from the deadly tornado that tore through… https://t.co/PyRt5id7IG",
1299,Backstage with Brian &amp; Nate before the big reveal! #airbnbopen2016 https://t.co/49Dq1i56C4,,Medieval ax with a preserved wooden handle discovered on the island of Ledniczka in Poland https://t.co/kXb4Ddk2QL,,,Production should be taken more seriously as an art form.  A producer is literally sculpting the air into a tangibl… https://t.co/pvnIMtUo9r,".@relativityspace continues preparations for its inaugural Terran 1 rocket launch, recently testing the water suppr… https://t.co/Hvlh75Beu6",
1300,Game time. T-12 hours to Airbnb Open 2016. #AirbnbOpen2016 #AO16 https://t.co/rLJ8cCzLRk,,"Hunt for pilot whales at Torshavn, Faroe Islands
Photo: Bjarne Stoklund, 1961 https://t.co/cj49WeJD5m",,,RT @th3oryhazit: This is @NipseyHussle https://t.co/sXIlaL1HtY,"""Is the Earth round?""

Michael Strahan: ""Okay, Kyrie Irving.""

Jeff Bezos: ""Flat Earther!"" https://t.co/ovfBjEFGb5",
1301,Go team! https://t.co/iCLSwxDLmR,,"Badge of the Order of Santiago, made of gold, emeralds, and diamonds. Spain, 1670-1679 https://t.co/Tg5sBgOUE3",,,@bloodpop Where’s LG6,"Astronaut @michaelstrahan describes his experience to Bezos:

""It's unreal.""

""I want to go back – I want to go lon… https://t.co/5atut3s4KK",
1302,Really appreciate the work Service Year is doing to bring young people together to serve inside the US. Check 'em o… https://t.co/6Rw7U3WD7k,,"RT @historydefined: This 14th century English castle was built in Bouzies, France during the Hundred Years war. https://t.co/SYv4sw4ieU",,,@bloodpop Luvs it,"Bezos opens the NS-19 capsule hatch: ""Welcome back guys"" https://t.co/D97ylYcjC0",
1303,RT @michaelbierut: The 3 women in my family finalized plans to attend this event without consulting me 👊🏼👊🏼👊🏼https://t.co/rp4eQlBInW,,"Archaeologists eating lunch in the tomb of Pharaoh Ramses XI, 1923. https://t.co/fRnjWLDkK4",,,@3eyes_takahashi Wow,"Touchdown:

The capsule fires its retrorockets to slow down at the last moment, kicking up a cloud of desert dust,… https://t.co/pNI9q2jj4Q",
1304,RT @adage: Creativity Pick: @Airbnb debuts a timely and poignant post-election day ad about acceptance. https://t.co/kft069ojwp https://t.c…,,"The future Queen Elizabeth II, photographed at 18 at Windsor Castle, Berkshire, England, 1944. https://t.co/vERWEvltJw",,,@bloodpop @yungjake @carolineplz Omg Caroline worked on this?!,The capsule's 3 main parachutes deploy: https://t.co/bwX0sN4Yar,
1305,"RT @Mildenhall: All done in house! #proudofteam Ad of the Day Airbnb Preaches, and Pledges, Acceptance in Evocative Post-Election Ad https:…",,"Cologne Cathedral photographed in c. 1945 amidst the ruins of the city of Cologne, Germany damaged by Allied bombin… https://t.co/aYdemBYHLa",,,@HANAtruly Omg,"Blue Origin's New Shepard booster returns to land, the 5th landing for this rocket: https://t.co/53JXSaCzoE",
1306,@alexoid shares https://t.co/ISKuLVjutE,,King Frederik the 9th of Denmark showing of his ink https://t.co/SQlojvIcD9,,,RT @simaenaga_bot: https://t.co/9pXjt8SBvX,"RT @SuperclusterHQ: For a few minutes, 19 people in space.

https://t.co/jFgZ9NvZZq https://t.co/yw5T08CSE9",
1307,@mialoira https://t.co/t9pxWcQifF,,"Catharine Cudney put her occupation down on the 1880 census as ""Does as she pleases."" https://t.co/sw7bXPxezk",,,"@minhalbaig https://t.co/UdT50Yd1tM
This always seemed weirdly underrated to me","According to the Blue Origin webcast, the NS-19 capsule hit a maximum altitude of 351,225 feet (107 kilometers).",
1308,@SoleCollector @newbalance Steve Jobs just rolled in his grave,,The haunted history of Poveglia Island. https://t.co/ITWQEn013I,,,@JanelleMonae Have u seen the Handmaiden??  Imo this is the best film ever created (but I haven’t seen every movie) https://t.co/WlEdXtTqvs,"NS-19 is in space

Cheering can be heard from the mission control audio from the crew experiencing weightlessness. https://t.co/ZSK3M5RrJf",
1309,Read the Letter Aaron Sorkin Wrote His Daughter After Donald Trump Was Elected President https://t.co/SXxsZTDhlM,,"Mississippi Sharecropper, 1937. Photo by Dorothea Lange https://t.co/zxxMq0XePH",,,"@ByrdDemarcus O same, current struggle is an ogre","Liftoff for Blue Origin's New Shepard rocket, carrying its first full crew of six passengers on their way to space:… https://t.co/GAbTykg70m",
1310,"Article on meta narratives behind last night: ""This Is How Much America Hates Women"" https://t.co/t9pxWcQifF via @annehelen @buzzfeed",,A staged photo inLife Magazine mocking the Hays movie censorship Code. The model is violating as many of its rules… https://t.co/7lOwm3ReqK,,,"@Metroidfan09 Oh that’s a good idea, my body rly hurts from not moving",@missjackianne @MeepsKitten @michaelstrahan @LAStiles The launch tower bridge retracts with under 2 minutes to laun… https://t.co/FBaoPuArFb,
1311,Thanks Tim. It's Going to Be Okay - Wait But Why https://t.co/0HzpErj3wo via @waitbutwhy,,"RT @historydefined: A German cavalryman wading through the snow on the Eastern Front, 1914. https://t.co/EZUIRoS2uP",,,@beef_sandwich I’m still hunched and dying,@missjackianne @MeepsKitten @michaelstrahan @LAStiles Blue Origin mission control polls NS-19 is go for launch.,
1312,RT @rickygervais: I dreamt that the guy from The Apprentice had become President of The United States of America. Haha. https://t.co/tJaBMd…,,"An excavation outside of the parliament building in Stockholm, Sweden 1978-1981. https://t.co/GcfoYIJj6u",,,When I die in sekiro https://t.co/j3co0xFFFS,"@missjackianne @MeepsKitten @michaelstrahan @LAStiles Blue Origin ends the NS-19 countdown hold, with now under 15… https://t.co/keGpVAXDvi",
1313,"We need a ""Rust Belt Miracle"" here people. Also a great name for a Oscar winning film about the first female presid… https://t.co/H9XxQ8H7Cr",,"Landing Zone Charlie Brown, Ten miles southeast of Duc Pho, Near American built port Sa Huynh Vietnam, 1968. https://t.co/S8vaMmDpuF",,,@crybaby336 @HANAtruly @CW_Riverdale I love the absurdly pretentious dialogue,"@missjackianne @MeepsKitten @michaelstrahan @LAStiles To the NS-19 crew, from de Vries' partner Leah:

""When Glen f… https://t.co/rfNxobAyqa",
